ServiceGroupID,ServiceGroup
1,Unassigned
2,Lawn Maintenance
3,Services Additional
4,Fert & Lawn Treatments
6,Gutters
7,2026 Irrigation
8,Winter (Current Season 2025-2026)
9,Seeding
10,Estimates
11,Shrub & Garden & Haul
13,Aerate & Dethatch
